"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test case focused on Special Chars validation","20186","Should create employee with Special Chars data","chromium","Mon Apr 27 23:07:47 UTC 2026","passed","Mon Apr 27 23:08:08 UTC 2026","PIM Data Driven Suite","e2e/pim-data-driven.spec.ts","",""
"Test case focused on Standard validation","12070","Should create employee with Standard data","chromium","Tue Apr 28 14:16:35 UTC 2026","passed","Tue Apr 28 14:16:47 UTC 2026","PIM Data Driven Suite","e2e/pim-data-driven.spec.ts","",""
"Test case focused on Long Names validation","33652","Should create employee with Long Names data","chromium","Mon Apr 27 23:16:20 UTC 2026","failed","Mon Apr 27 23:16:54 UTC 2026","PIM Data Driven Suite","e2e/pim-data-driven.spec.ts","",""
"","11818","Should handle employee lifecycle with POM and Fixtures","chromium","Tue Apr 28 14:17:19 UTC 2026","passed","Tue Apr 28 14:17:31 UTC 2026","PIM Reliability Suite - Docker Mode","e2e/pim.spec.ts","",""
"Test case focused on Special Chars validation","17611","Should create employee with Special Chars data","chromium","Mon Apr 27 23:37:59 UTC 2026","passed","Mon Apr 27 23:38:17 UTC 2026","PIM Data Driven Suite","e2e/pim-data-driven.spec.ts","",""
"","5628","authenticate as admin","setup","Tue Apr 28 14:16:20 UTC 2026","passed","Tue Apr 28 14:16:26 UTC 2026","","auth.setup.ts","",""
"Test case focused on Special Chars validation","12034","Should create employee with Special Chars data","chromium","Tue Apr 28 14:16:59 UTC 2026","passed","Tue Apr 28 14:17:11 UTC 2026","PIM Data Driven Suite","e2e/pim-data-driven.spec.ts","",""
"Test case focused on Standard validation","19309","Should create employee with Standard data","chromium","Mon Apr 27 23:07:28 UTC 2026","passed","Mon Apr 27 23:07:47 UTC 2026","PIM Data Driven Suite","e2e/pim-data-driven.spec.ts","",""
"","4815","PIM Dashboard Integrity Check","chromium","Tue Apr 28 14:17:31 UTC 2026","passed","Tue Apr 28 14:17:36 UTC 2026","Visual Regression Suite","e2e/visual.spec.ts","",""
"Test case focused on Standard validation","16164","Should create employee with Standard data","chromium","Tue Apr 28 14:13:07 UTC 2026","passed","Tue Apr 28 14:13:23 UTC 2026","PIM Data Driven Suite","e2e/pim-data-driven.spec.ts","",""
"Test case focused on Long Names validation","16182","Should create employee with Long Names data","chromium","Mon Apr 27 23:30:58 UTC 2026","passed","Mon Apr 27 23:31:15 UTC 2026","PIM Data Driven Suite","e2e/pim-data-driven.spec.ts","",""
"Test case focused on Standard validation","16446","Should create employee with Standard data","chromium","Mon Apr 27 23:37:26 UTC 2026","passed","Mon Apr 27 23:37:43 UTC 2026","PIM Data Driven Suite","e2e/pim-data-driven.spec.ts","",""
"","23069","Should create employee with Special Chars data","chromium","Mon Apr 27 22:50:11 UTC 2026","passed","Mon Apr 27 22:50:34 UTC 2026","PIM Data Driven Suite","e2e/pim-data-driven.spec.ts","",""
"Test case focused on Special Chars validation","19238","Should create employee with Special Chars data","chromium","Mon Apr 27 23:16:37 UTC 2026","passed","Mon Apr 27 23:16:56 UTC 2026","PIM Data Driven Suite","e2e/pim-data-driven.spec.ts","",""
"Test case focused on Standard validation","25006","Should create employee with Standard data","chromium","Mon Apr 27 22:58:37 UTC 2026","passed","Mon Apr 27 22:59:02 UTC 2026","PIM Data Driven Suite","e2e/pim-data-driven.spec.ts","",""
"Test case focused on Long Names validation","19722","Should create employee with Long Names data","chromium","Mon Apr 27 22:59:02 UTC 2026","passed","Mon Apr 27 22:59:22 UTC 2026","PIM Data Driven Suite","e2e/pim-data-driven.spec.ts","",""
"Test case focused on Long Names validation","16658","Should create employee with Long Names data","chromium","Mon Apr 27 23:37:43 UTC 2026","passed","Mon Apr 27 23:37:59 UTC 2026","PIM Data Driven Suite","e2e/pim-data-driven.spec.ts","",""
"Test case focused on Special Chars validation","15935","Should create employee with Special Chars data","chromium","Tue Apr 28 14:13:39 UTC 2026","passed","Tue Apr 28 14:13:55 UTC 2026","PIM Data Driven Suite","e2e/pim-data-driven.spec.ts","",""
